#t  pH Em volume surface deltaOsm H+ HO- Na+ Cl- K+ HCO3- CO3-- HY Y- OSM
0  7.2 -60 1308.99693899575 652.926841418496 0 6.30957344480194e-08 1.58489319246111e-07 0.01 0.02 0.14 0.0126215120285831 1.12020991558937e-05 0 0 0.117367064287207
1 7.2 -60.0002904554725 1308.99693899575 652.926841418496 -1.33139610447586e-11 6.30957344480194e-08 1.58489319246111e-07 0.00999999999403444 0.0200000000008509 0.139999999991801 0.0126215120285831 1.12020991558937e-05 0 0 0.117367064287207
2 7.2 -60.0001095077107 1308.99693899575 652.926841418496 -5.02153874037958e-12 6.30957344480194e-08 1.58489319246111e-07 0.00999999999777299 0.0200000000003199 0.139999999996886 0.0126215120285831 1.12020991558937e-05 0 0 0.117367064287207
3 7.2 -60.0001224189115 1308.99693899575 652.926841418496 -5.61445334668065e-12 6.30957344480194e-08 1.58489319246111e-07 0.00999999999752052 0.0200000000003572 0.139999999996508 0.0126215120285831 1.12020991558937e-05 0 0 0.117367064287207
4 7.2 -60.0001196654238 1308.99693899575 652.926841418496 -5.48938672295662e-12 6.30957344480194e-08 1.58489319246111e-07 0.00999999999759027 0.0200000000003486 0.139999999996572 0.0126215120285831 1.12020991558937e-05 0 0 0.117367064287207
5 7.2 -60.0001202072461 1308.99693899575 652.926841418496 -5.51536594173285e-12 6.30957344480194e-08 1.58489319246111e-07 0.00999999999759198 0.0200000000003496 0.139999999996543 0.0126215120285831 1.12020991558937e-05 0 0 0.117367064287207
6 7.19999049890154 -60.0001201700284 1308.99693899575 652.926841418496 1.12507225757952e-11 6.30971148140327e-08 1.58485851999306e-07 0.0100000001888871 0.0200000000004824 0.139999999997274 0.0126215127142385 1.12018546978025e-05 0 0 0.117367064287207
7 7.19996202730207 -60.0001206927902 1308.99693899575 652.926841418496 1.59278124023388e-09 6.31012514879806e-08 1.58475462279932e-07 0.0100000015209163 0.0200000000015519 0.140000000008352 0.0126215155345243 1.12011228504397e-05 0 0 0.117367064287207
8 7.19991464077119 -60.0001220449247 1308.99693899575 652.926841418496 7.0338910251877e-09 6.3108136937054e-08 1.58458171724738e-07 0.0100000051152831 0.0200000000048634 0.140000000056207 0.0126215216310701 1.11999061554442e-05 0 0 0.117367064287207
9 7.19984840555404 -60.0001246779464 1308.99693899575 652.926841418496 1.86224474729713e-08 6.31177624333321e-08 1.58434006759388e-07 0.0100000120726314 0.0200000000121271 0.140000000184488 0.0126215321406984 1.11982074875622e-05 0 0 0.117367064287207
10 7.19976339853092 -60.0001290001461 1308.99693899575 652.926841418496 3.86385207717943e-08 6.31301180548155e-08 1.5840299857062e-07 0.0100000234725641 0.0200000000254582 0.140000000453728 0.0126215481949986 1.11960300518716e-05 0 0 0.117367064287207
11 7.19965970716672 -60.0001354215505 1308.99693899575 652.926841418496 6.93535182061389e-08 6.3145192687028e-08 1.58365183072033e-07 0.0100000403735561 0.0200000000473778 0.140000000940994 0.0126215709199012 1.11933773805661e-05 0 0 0.117367064287207
12 7.19953742945029 -60.0001443448292 1308.99693899575 652.926841418496 1.13029320791824e-07 6.3162974025192e-08 1.58320600863594e-07 0.0100000638128697 0.0200000000808135 0.140000001739541 0.0126216014352541 1.11902533293053e-05 0 0 0.117367064287207
13 7.19939667382372 -60.0001561670198 1308.99693899575 652.926841418496 1.71917418967382e-07 6.3183448576981e-08 1.58269297184947e-07 0.0100000948064707 0.0200000001290999 0.14000000295847 0.0126216408543989 1.11866620731405e-05 0 0 0.117367064287207
14 7.1992375591018 -60.0001712790844 1308.99693899575 652.926841418496 2.48258047341743e-07 6.32066016658528e-08 1.58211321862641e-07 0.0100001343489455 0.0200000001959782 0.140000004722371 0.0126216902837486 1.11826081020233e-05 0 0 0.117367064287207
15 7.19906021438167 -60.0001900659021 1308.99693899575 652.926841418496 3.44279318609253e-07 6.32324174349664e-08 1.58146729251414e-07 0.0100001834134195 0.0200000002855962 0.140000007170982 0.0126217508223671 1.11780962159087e-05 0 0 0.117367064287207
16 7.19886477894279 -60.0002129061744 1308.99693899575 652.926841418496 4.6219635818634e-07 6.32608788516869e-08 1.58075578169641e-07 0.0100002429514769 0.0200000004025083 0.140000010458832 0.0126218235615485 1.11731315194631e-05 0 0 0.117367064287207
17 7.19865140213752 -60.0002401723471 1308.99693899575 652.926841418496 6.04210438071018e-07 6.32919677126787e-08 1.57997931829141e-07 0.0100003138930813 0.0200000005516744 0.140000014754894 0.0126219095843998 1.11677194163896e-05 0 0 0.117367064287207
18 7.19842024327235 -60.0002722305322 1308.99693899575 652.926841418496 7.7250811231222e-07 6.33256646495911e-08 1.57913857759479e-07 0.0100003971464985 0.0200000007384593 0.14000002024223 0.012622009965423 1.11618656033838e-05 0 0 0.117367064287207
19 7.19817147148009 -60.0003094404239 1308.99693899575 652.926841418496 9.6926035159095e-07 6.33619491353375e-08 1.57823427726956e-07 0.0100004935982208 0.0200000009686315 0.14000002711764 0.0126221257701004 1.11555760637327e-05 0 0 0.117367064287207
20 7.19790526558314 -60.0003521552249 1308.99693899575 652.926841418496 1.19662167979984e-06 6.34007994909689e-08 1.57726717648481e-07 0.0100006041128923 0.0200000012483621 0.140000035591305 0.0126222580544808 1.1148857060574e-05 0 0 0.117367064287207
21 7.19762181394814 -60.0004007215634 1308.99693899575 652.926841418496 1.4567293116774e-06 6.34421928931443e-08 1.57623807500523e-07 0.0100007295332372 0.0200000015842231 0.140000045886432 0.0126224078647676 1.11417151298276e-05 0 0 0.117367064287207
22 7.19732131433218 -60.000455479417 1308.99693899575 652.926841418496 1.75170229121946e-06 6.34861053821963e-08 1.57514781223363e-07 0.0100008706799891 0.0200000019831857 0.1400000582389 0.0126225762369087 1.11341570728186e-05 0 0 0.117367064287207
23 7.19700397372093 -60.0005167620354 1308.99693899575 652.926841418496 2.08364063319921e-06 6.35325118707953e-08 1.57399726620864e-07 0.0100010283518228 0.0200000024526185 0.140000072896901 0.0126227641961886 1.11261899486065e-05 0 0 0.117367064287207
24 7.19667000815878 -60.000584895862 1308.99693899575 652.926841418496 2.45462446574196e-06 6.35813861532085e-08 1.57278735256e-07 0.0100012033252882 0.020000003000285 0.140000090120584 0.0126229727568228 1.11178210660386e-05 0 0 0.117367064287207
25 7.19631964257151 -60.0006602004598 1308.99693899575 652.926841418496 2.86671317567544e-06 6.36327009151555e-08 1.57151902342374e-07 0.0100013963547466 0.0200000036343415 0.140000110181691 0.0126232029215537 1.11090579755454e-05 0 0 0.117367064287207
26 7.19595311058154 -60.0007429884354 1308.99693899575 652.926841418496 3.32194455737733e-06 6.36864277442591e-08 1.57019326631983e-07 0.0100016081723092 0.0200000043633342 0.140000133363205 0.0126234556812499 1.10999084606958e-05 0 0 0.117367064287207
27 7.19557065431623 -60.0008335653634 1308.99693899575 652.926841418496 3.82233396373222e-06 6.37425371410889e-08 1.56881110299482e-07 0.0100018394877786 0.0200000051961967 0.140000159958985 0.0126237320145071 1.10903805295303e-05 0 0 0.117367064287207
28 7.19517252420954 -60.0009322297146 1308.99693899575 652.926841418496 4.36987346175144e-06 6.38009985307955e-08 1.56737358823204e-07 0.0100020909885926 0.0200000061422466 0.140000190273404 0.0126240328872521 1.10804824056928e-05 0 0 0.117367064287207
29 7.19475897879724 -60.0010392727846 1308.99693899575 652.926841418496 4.96653099141264e-06 6.38617802753356e-08 1.56588180863197e-07 0.0100023633397708 0.0200000072111824 0.140000224620993 0.0126243592523494 1.10702225193776e-05 0 0 0.117367064287207
30 7.1943302845061 -60.0011549786188 1308.99693899575 652.926841418496 5.61424952866263e-06 6.39248496862802e-08 1.5643368813656e-07 0.0100026571838646 0.0200000084130797 0.140000263326072 0.0126247120492108 1.10596094981126e-05 0 0 0.117367064287207
31 7.19388671543745 -60.0012796239474 1308.99693899575 652.926841418496 6.31494625352724e-06 6.39901730382077e-08 1.56273995290326e-07 0.0100029731409098 0.0200000097583881 0.140000306722391 0.012625092203408 1.10486521573978e-05 0 0 0.117367064287207
32 7.19342855314533 -60.0014134781126 1308.99693899575 652.926841418496 7.07051172410544e-06 6.40577155826748e-08 1.56109219772187e-07 0.0100033118083825 0.0200000112579267 0.140000355152767 0.0126255006262884 1.10373594912175e-05 0 0 0.117367064287207
33 7.19295608640959 -60.0015568030037 1308.99693899575 652.926841418496 7.88280905411609e-06 6.41274415627613e-08 1.55939481699313e-07 0.0100036737611588 0.0200000129228802 0.140000408968719 0.012625938214594 1.10257406624475e-05 0 0 0.117367064287207
34 7.19246961100444 -60.0017098529899 1308.99693899575 652.926841418496 8.75367309871589e-06 6.41993142281852e-08 1.55764903725556e-07 0.0100040595514774 0.0200000147647943 0.140000468530103 0.0126264058500843 1.10138049931738e-05 0 0 0.117367064287207
35 7.19196942946264 -60.0018728748573 1308.99693899575 652.926841418496 9.68490964448065e-06 6.42732958509821e-08 1.55585610907289e-07 0.0100044697089063 0.0200000167955718 0.140000534204751 0.0126269043991627 1.10015619549453e-05 0 0 0.117367064287207
36 7.1914558508357 -60.0020461077438 1308.99693899575 652.926841418496 1.06782946090456e-05 6.43493477417426e-08 1.55401730568174e-07 0.0100049047403127 0.0200000190274668 0.140000606368104 0.0126274347125062 1.09890211589765e-05 0 0 0.117367064287207
37 7.19092919045061 -60.0022297830801 1308.99693899575 652.926841418496 1.17355732441871e-05 6.44274302664023e-08 1.55213392163102e-07 0.0100053651298377 0.0200000214730808 0.140000685402845 0.0126279976247 1.09761923463208e-05 0 0 0.117367064287207
38 7.19038976966322 -60.0024241245296 1308.99693899575 652.926841418496 1.28584593505621e-05 6.45075028635775e-08 1.5502072714159e-07 0.0100058513388741 0.0200000241453566 0.140000771698539 0.0126285939538758 1.0963085378032e-05 0 0 0.117367064287207
39 7.18983791560886 -60.0026293479292 1308.99693899575 652.926841418496 1.4048634498498e-05 6.45895240624388e-08 1.54823868810877e-07 0.0100063638060493 0.0200000270575736 0.140000865651265 0.0126292245013539 1.09497102253321e-05 0 0 0.117367064287207
40 7.18927396095037 -60.0028456612369 1308.99693899575 652.926841418496 1.53077472564989e-05 6.46734515011159e-08 1.54622952198979e-07 0.0100069029472116 0.0200000302233418 0.14000096766325 0.0126298900512914 1.09360769598035e-05 0 0 0.117367064287207
41 7.18869824362403 -60.0030732644748 1308.99693899575 652.926841418496 1.66374124331847e-05 6.4759241945624e-08 1.54418113917958e-07 0.0100074691554219 0.0200000336565962 0.140001078142509 0.0126305913703335 1.09221957436219e-05 0 0 0.117367064287207
42 7.18811110658364 -60.0033123496794 1308.99693899575 652.926841418496 1.8039210323173e-05 6.4846851309305e-08 1.54209492027643e-07 0.0100080628009497 0.0200000373715907 0.140001197502474 0.0126313292072705 1.09080768198478e-05 0 0 0.117367064287207
43 7.1875128975432 -60.0035631008501 1308.99693899575 652.926841418496 1.95146859677253e-05 6.49362346727722e-08 1.53997225900026e-07 0.0100086842312733 0.0200000413828923 0.140001326161635 0.0126321042927001 1.08937305027915e-05 0 0 0.117367064287207
44 7.18690396871842 -60.0038256939037 1308.99693899575 652.926841418496 2.1065348423388e-05 6.5027346304351e-08 1.5378145608459e-07 0.0100093337710864 0.0200000457053741 0.140001464543173 0.0126329173386946 1.08791671684681e-05 0 0 0.117367064287207
45 7.18628467656751 -60.0041002966288 1308.99693899575 652.926841418496 2.2692670043345e-05 6.51201396810033e-08 1.53562324174762e-07 0.0100100117223078 0.0200000503542091 0.140001613074598 0.0126337690384739 1.08643972451571e-05 0 0 0.117367064287207
